timestamp,rule_id,rule_type,execution_results,rule_json
2026-05-01 13:44:29,rule_20260501134429,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501134429"", ""timestamp"": ""2026-05-01 13:44:29""}"
2026-05-01 19:13:47,test,simple,"[""Executed: turn_on ac in living_room""]","{""rule_id"": ""test"", ""rule_type"": ""simple"", ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null}]}"
2026-05-01 19:14:33,test,simple,"[""Executed: turn_on ac in living_room""]","{""rule_id"": ""test"", ""rule_type"": ""simple"", ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null}]}"
2026-05-01 20:12:19,rule_20260501201219,simple,"[""Executed: turn_on light in bedroom_1""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""bedroom_1"", ""device"": ""light"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201219"", ""timestamp"": ""2026-05-01 20:12:19""}"
2026-05-01 20:13:17,rule_20260501201317,multi_action,"[""Executed: turn_off tv in living_room"", ""Executed: turn_on ac in living_room"", ""Executed: close door in garage""]","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""tv"", ""action"": ""turn_off"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""garage"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501201317"", ""timestamp"": ""2026-05-01 20:13:17""}"
2026-05-01 20:15:58,rule_20260501201558,simple,"[""Executed: turn_on light in kitchen""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""light"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201558"", ""timestamp"": ""2026-05-01 20:15:58""}"
2026-05-01 20:19:16,rule_20260501201916,simple,"[""Executed: turn_on ac in living_room""]","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201916"", ""timestamp"": ""2026-05-01 20:19:16""}"
2026-05-01 20:19:44,rule_20260501201944,multi_action,"[""Executed: turn_on ac in living_room"", ""Executed: close door in living_room""]","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501201944"", ""timestamp"": ""2026-05-01 20:19:44""}"
2026-05-01 20:21:50,rule_20260501202150,multi_action,"[""Executed: turn_on ac in living_room"", ""Executed: close door in living_room""]","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202150"", ""timestamp"": ""2026-05-01 20:21:50""}"
2026-05-01 20:22:01,rule_20260501202201,multi_action,"[""Executed: turn_on ac in living_room"", ""Executed: close door in living_room""]","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501202201"", ""timestamp"": ""2026-05-01 20:22:01""}"
2026-05-01 20:22:43,rule_20260501202243,multi_action,"[""Executed: turn_on ac in living_room"", ""Executed: close door in living_room""]","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202243"", ""timestamp"": ""2026-05-01 20:22:43""}"
2026-05-01 20:23:22,rule_20260501202322,multi_action,"[""Executed: turn_on ac in living_room"", ""Executed: close door in living_room""]","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202322"", ""timestamp"": ""2026-05-01 20:23:22""}"
