status,reason,original_rule,fixed_rule
failed,Room 'unknown' does not exist,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501134742"", ""timestamp"": ""2026-05-01 13:47:42""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501134742"", ""timestamp"": ""2026-05-01 13:47:42""}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""main_door"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501162114"", ""timestamp"": ""2026-05-01 16:21:14""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""main_door"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501162114"", ""timestamp"": ""2026-05-01 16:21:14""}"
success,Mapped sensor 'temperature' to device 'ac',"{""actions"": [{""room"": ""living_room"", ""device"": ""temperature"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}","{""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}"
failed,Device 'ac' not in room 'washroom',"{""actions"": [{""room"": ""washroom"", ""device"": ""ac"", ""action"": ""turn_on""}]}","{""actions"": [{""room"": ""washroom"", ""device"": ""ac"", ""action"": ""turn_on""}]}"
success,Mapped sensor 'temperature' to device 'ac',"{""actions"": [{""room"": ""living_room"", ""device"": ""temperature"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}","{""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}"
success,Mapped sensor 'temperature' to device 'ac',"{""actions"": [{""room"": ""living_room"", ""device"": ""temperature"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}","{""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}"
success,Mapped sensor 'temperature' to device 'ac',"{""actions"": [{""room"": ""living_room"", ""device"": ""temperature"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}","{""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""set_temperature"", ""value"": ""decrease""}]}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""garage"", ""device"": ""door"", ""action"": ""open"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""light"", ""action"": ""turn_off"", ""value"": null, ""condition"": {""sensor"": ""temperature"", ""operator"": ""<"", ""value"": 20}}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201138"", ""timestamp"": ""2026-05-01 20:11:38""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""garage"", ""device"": ""door"", ""action"": ""open"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""light"", ""action"": ""turn_off"", ""value"": null, ""condition"": {""sensor"": ""temperature"", ""operator"": ""<"", ""value"": 20}}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201138"", ""timestamp"": ""2026-05-01 20:11:38""}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""lock"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""open"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501201339"", ""timestamp"": ""2026-05-01 20:13:39""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""lock"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""open"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501201339"", ""timestamp"": ""2026-05-01 20:13:39""}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""lock"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201400"", ""timestamp"": ""2026-05-01 20:14:00""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""lock"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201400"", ""timestamp"": ""2026-05-01 20:14:00""}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201410"", ""timestamp"": ""2026-05-01 20:14:10""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201410"", ""timestamp"": ""2026-05-01 20:14:10""}"
failed,Device 'ac' not in room 'kitchen',"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201433"", ""timestamp"": ""2026-05-01 20:14:33""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201433"", ""timestamp"": ""2026-05-01 20:14:33""}"
failed,Device 'toaster' not in room 'living_room',"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""toaster"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201647"", ""timestamp"": ""2026-05-01 20:16:47""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""toaster"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201647"", ""timestamp"": ""2026-05-01 20:16:47""}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201742"", ""timestamp"": ""2026-05-01 20:17:42""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201742"", ""timestamp"": ""2026-05-01 20:17:42""}"
failed,Room 'unknown' does not exist,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201905"", ""timestamp"": ""2026-05-01 20:19:05""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201905"", ""timestamp"": ""2026-05-01 20:19:05""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201916"", ""timestamp"": ""2026-05-01 20:19:16""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501201916"", ""timestamp"": ""2026-05-01 20:19:16""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501201944"", ""timestamp"": ""2026-05-01 20:19:44""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501201944"", ""timestamp"": ""2026-05-01 20:19:44""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202150"", ""timestamp"": ""2026-05-01 20:21:50""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202150"", ""timestamp"": ""2026-05-01 20:21:50""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501202201"", ""timestamp"": ""2026-05-01 20:22:01""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": ""generated"", ""rule_id"": ""rule_20260501202201"", ""timestamp"": ""2026-05-01 20:22:01""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202243"", ""timestamp"": ""2026-05-01 20:22:43""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202243"", ""timestamp"": ""2026-05-01 20:22:43""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""kitchen"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""unknown"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202322"", ""timestamp"": ""2026-05-01 20:23:22""}","{""rule_type"": ""multi_action"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}, {""room"": ""living_room"", ""device"": ""door"", ""action"": ""close"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260501202322"", ""timestamp"": ""2026-05-01 20:23:22""}"
success,Selected 'living_room' because user is present there,"{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""unknown"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260512102225"", ""timestamp"": ""2026-05-12 10:22:25""}","{""rule_type"": ""simple"", ""trigger"": ""immediate"", ""conditions"": [], ""actions"": [{""room"": ""living_room"", ""device"": ""ac"", ""action"": ""turn_on"", ""value"": null, ""condition"": null}], ""status"": "" generated"", ""rule_id"": ""rule_20260512102225"", ""timestamp"": ""2026-05-12 10:22:25""}"
